1,BCRP,MDR1,MRP1,MRP2,MRP3,MRP4,MRP5,MRP6,MRP7,MRP8,MRP9,SMILES
CERUBIDINE; DAUNORUBICIN HYDROCHLORIDE,-10.9,-10.3,-8.4,-9.7,-7.1,-10.5,-11.0,-7.1,-7.8,-7.9,-7.8,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H]([NH3+])[C@H](O)[C@H](C)O1
CERVIDIL; DINOPROSTONE,-9.2,-8.7,-6.0,-6.4,-6.3,-9.1,-10.1,-7.2,-6.0,-8.4,-7.9,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)[O-]
CESAMET; NABILONE,-7.8,-7.2,-5.9,-4.7,-6.0,-7.8,-7.2,-4.1,-5.1,-5.8,-7.2,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(=O)C[C@@H]21
CETIRIZINE HYDROCHLORIDE ALLERGY; CETIRIZINE HYDROCHLORIDE,-7.8,-8.6,-6.4,-7.6,-10.6,-8.6,-13.1,-6.2,-6.4,-6.8,-9.6,O=C([O-])COCC[NH+]1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
CETRAXAL; CIPROFLOXACIN HYDROCHLORIDE,-8.8,-6.7,-6.8,-6.0,-5.3,-5.8,-9.0,-4.8,-4.2,-5.7,-6.1,O=C(O)c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O
CETROTIDE; CETRORELIX,-6.9,0.0,-1.4,-9.8,-5.8,-9.4,-11.3,0.0,-13.5,-8.8,0.0,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
CHENIX; CHENODIOL,-6.1,-9.3,-5.4,-4.7,-5.5,-6.7,-12.4,-4.1,-6.1,-7.3,-8.1,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
CHIBROXIN; NORFLOXACIN,-7.1,-6.1,-6.6,-7.8,-6.7,-6.0,-8.9,-4.5,-3.9,-6.3,-6.1,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CC[NH2+]CC3)cc21
CHIROCAINE; LEVOBUPIVACAINE HYDROCHLORIDE,-6.5,-7.0,-5.5,-4.6,-5.9,-4.8,-7.5,-3.6,-4.1,-3.9,-5.7,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C
CHLORAPREP ONE-STEP FREPP; ISOPROPYL ALCOHOL,-1.6,-1.5,-2.0,-1.1,-2.2,-1.3,-1.5,-0.5,-1.9,-1.8,-1.1,CC(C)O
CHLOROPTIC-P S.O.P.; PREDNISOLONE,-4.9,-8.7,-6.7,-5.2,-4.7,-7.5,-6.4,-4.7,-5.7,-2.3,-6.9,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
CHLORPROMAZINE HYDROCHLORIDE; CHLORPROMAZINE HYDROCHLORIDE,-6.1,-5.5,-2.7,-4.3,-5.4,-6.7,-3.5,-5.2,-4.2,-2.6,-5.8,C[NH+](C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
CHLORPROPAMIDE; CHLORPROPAMIDE,-5.7,-5.5,-4.7,-3.9,-5.2,-4.6,-2.7,-3.2,-4.3,-5.2,-5.5,CCCNC(=O)[N-]S(=O)(=O)c1ccc(Cl)cc1
CHLORZOXAZONE; CHLORZOXAZONE,-7.0,-5.7,-4.2,-2.7,-4.9,-4.6,-5.1,-3.7,-3.6,-3.5,-5.3,O=c1[nH]c2cc(Cl)ccc2o1
CHOLBAM; CHOLIC ACID,-4.0,-9.0,-5.6,-5.3,-5.4,-5.1,-13.6,-3.3,-4.8,-3.3,-7.7,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
CHOLEDYL; OXTRIPHYLLINE,-0.0,-2.3,-2.6,-2.3,-3.1,-2.5,-2.7,-2.5,-3.3,-1.9,-3.0,C[N+](C)(C)CCO
CICLOPIROX; CICLOPIROX,-8.0,-6.5,-4.2,-5.4,-7.2,-7.0,-7.0,-4.9,-4.1,-6.4,-6.3,Cc1cc(C2CCCCC2)n([O-])c(=O)c1
CIDOFOVIR; CIDOFOVIR,-8.2,-7.4,-5.5,-7.6,-6.8,-8.6,-9.4,-8.4,-5.5,-8.6,-9.7,Nc1ccn(C[C@@H](CO)OCP(=O)([O-])[O-])c(=O)n1
CILOSTAZOL; CILOSTAZOL,-8.0,-7.8,-5.8,-4.2,-6.0,-5.3,-5.4,-3.6,-3.0,-5.3,-6.1,Cc1ccc2c(c1)C(=O)N(Cc1ccc(F)cc1)C2=O
CIMETIDINE; CIMETIDINE,-5.7,-5.3,-4.2,-5.6,-4.7,-5.0,-6.6,-3.7,-4.1,-6.2,-4.1,CN/C(=N\C#N)NCCSCc1[nH]cnc1C
CIN-QUIN; QUINIDINE SULFATE,-7.7,-7.9,-6.8,-4.1,-5.0,-6.1,-6.4,-5.0,-4.1,-3.4,-5.7,C=C[C@H]1C[N@H+]2CC[C@@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
CINACALCET HYDROCHLORIDE; CINACALCET HYDROCHLORIDE,-9.5,-9.5,-6.6,-6.2,-4.0,-7.7,-7.6,-6.1,-6.0,-6.1,-6.1,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12
CINOBAC; CINOXACIN,-8.1,-5.9,-5.2,-6.0,-5.1,-6.5,-8.9,-5.2,-3.9,-4.7,-7.0,CCn1nc(C(=O)[O-])c(=O)c2cc3c(cc21)OCO3
CINTICHEM TECHNETIUM 99M HEDSPA; TECHNETIUM TC-99M ETIDRONATE KIT,-5.2,-8.7,-4.2,-6.9,-4.7,-7.3,-9.1,-7.0,-5.2,-5.7,-6.3,C[C@@](O)(P(=O)([O-])[O-])[P@](=O)([O-])O
CITANEST FORTE DENTAL; PRILOCAINE HYDROCHLORIDE,-9.5,-8.4,-6.4,-2.8,-6.7,-6.5,-5.9,-5.8,-4.8,-6.9,-6.9,Cn1c(=O)c2ccc(-c3cccnc3)cc2n2nc(-c3ccc(Cl)cc3)cc12
CLADRIBINE; CLADRIBINE,-7.1,-6.1,-5.5,-7.5,-6.1,-5.7,-4.8,-5.3,-5.6,-5.2,-5.1,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
CLARINEX-D 12 HOUR; DESLORATADINE,-6.3,-8.4,-5.6,-4.2,-6.1,-6.8,-7.3,-3.8,-4.2,-6.1,-6.1,Clc1ccc2c(c1)CCc1cccnc1C2=C1CC[NH2+]CC1
CLEMASTINE FUMARATE; CLEMASTINE FUMARATE,-7.5,-7.7,-6.0,-4.4,-4.6,-6.9,-6.1,-4.3,-5.1,-5.5,-6.1,C[N@@H+]1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
CLINORIL; SULINDAC,-10.3,-8.9,-6.5,-6.7,-5.8,-8.5,-9.7,-4.0,-4.8,-6.9,-8.7,CC1=C(CC(=O)[O-])c2cc(F)ccc2/C1=C\c1ccc([S@](C)=O)cc1
CLOBETASOL PROPIONATE; CLOBETASOL PROPIONATE,-4.9,-5.9,-5.6,-4.2,-4.7,-6.1,-5.5,-3.9,-3.7,-2.5,-4.5,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CLOMID; CLOMIPHENE CITRATE,-8.4,-10.0,-6.1,-5.9,-5.4,-5.7,-6.9,-3.6,-4.7,-7.0,-6.3,CC[NH+](CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1
CLONAZEPAM; CLONAZEPAM,-6.1,-6.7,-5.0,-5.2,-5.5,-5.3,-6.4,-4.3,-4.7,-6.0,-5.6,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
CLOPIDOGREL BISULFATE; CLOPIDOGREL BISULFATE,-7.2,-7.3,-5.7,-5.5,-5.1,-6.6,-4.9,-3.4,-4.7,-5.2,-6.0,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1
CLOPRA; METOCLOPRAMIDE HYDROCHLORIDE,-4.2,-4.5,-1.9,-5.1,-4.4,-5.4,-6.5,-6.5,-4.3,-4.9,-5.7,CC[NH+](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE; CLOTRIMAZOLE,-4.7,-4.7,-5.7,-4.6,-5.9,-6.9,-6.0,-3.5,-5.2,-4.4,-6.0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1cc[nH+]c1
CLOZAPINE; CLOZAPINE,-6.2,-8.4,-4.8,-4.3,-6.5,-5.9,-8.1,-4.3,-4.7,-5.2,-5.6,C[NH+]1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
COARTEM; LUMEFANTRINE,-12.2,-10.8,-5.9,-5.2,-7.0,-8.3,-9.2,-5.8,-4.6,-6.6,-7.6,CCCCN(CCCC)C[C@H](O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C\c1ccc(Cl)cc1
CODEINE SULFATE; CODEINE SULFATE,-6.6,-8.1,-6.5,-6.5,-7.2,-7.0,-6.4,-6.3,-7.1,-7.6,-6.7,COc1ccc2c3c1O[C@@H]1[C@H](O)C=C[C@@H]4[C@@H](C2)[N@H+](C)CC[C@@]341
CODOXY; OXYCODONE HYDROCHLORIDE,-5.2,-4.5,-6.0,-6.1,-5.3,-6.0,-6.4,-5.0,-5.3,-6.0,-5.0,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)[N@H+](C)CC[C@]314
COGNEX; TACRINE HYDROCHLORIDE,-2.9,-4.9,-1.5,-3.2,-3.8,-3.7,-5.0,-4.5,-3.8,-1.3,-4.1,Nc1c2c([nH+]c3ccccc13)CCCC2
COLBENEMID; COLCHICINE,-7.0,-7.9,-6.6,-5.1,-6.4,-5.9,-5.4,-4.7,-4.8,-4.2,-5.4,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
COLGATE TOTAL; TRICLOSAN,-8.3,-8.1,-6.0,-5.1,-7.5,-5.6,-6.5,-5.4,-5.3,-7.0,-6.6,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
COLONAID; DIPHENOXYLATE HYDROCHLORIDE,-5.5,-9.2,-6.9,-5.1,-6.5,-7.1,-5.8,-5.1,-6.5,-5.3,-6.9,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1
COLY-MYCIN S; THONZONIUM BROMIDE,-7.3,-7.0,-6.7,-6.9,-7.7,-6.7,-5.4,-4.5,-4.0,-3.1,-5.2,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1
COMPAZINE; PROCHLORPERAZINE,-9.3,-7.8,-5.1,-4.9,-5.2,-5.6,-7.0,-3.7,-4.4,-5.9,-6.0,C[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
COMPOUND 65; PROPOXYPHENE HYDROCHLORIDE,-6.6,-6.3,-6.0,-1.0,-2.5,-3.4,-5.7,-4.5,-5.3,-2.6,-5.8,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)C[NH+](C)C
CONCENTRAID; DESMOPRESSIN ACETATE,-7.5,0.0,-8.6,-10.3,-9.8,-10.7,-6.9,-10.1,-9.5,-9.3,0.0,NC(=[NH2+])NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
CONCERTA; METHYLPHENIDATE HYDROCHLORIDE,-5.2,-5.4,-4.8,-3.2,-5.0,-4.3,-3.4,-2.5,-4.5,-4.0,-4.8,COC(=O)[C@H](c1ccccc1)[C@H]1CCCC[NH2+]1
CONDYLOX; PODOFILOX,-5.6,-5.7,-6.1,-5.7,-7.1,-6.6,-6.6,-4.5,-5.7,-3.4,-6.2,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
CONTRAVE; NALTREXONE HYDROCHLORIDE,-4.0,-6.0,-6.6,-5.2,-6.4,-5.7,-6.0,-5.2,-5.3,-5.6,-6.3,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CC[N@@H+]3CC2CC2)[C@H]1O5
CONZIP; TRAMADOL HYDROCHLORIDE,-4.3,-5.2,-1.4,0.0,-2.5,-5.1,-4.8,-4.1,-3.3,-2.3,-4.3,COc1cccc([C@@]2(O)CCCC[C@@H]2C[NH+](C)C)c1
COPEGUS; RIBAVIRIN,-7.0,-6.8,-8.2,-7.0,-6.9,-4.8,-7.9,-3.4,-7.5,-5.3,-7.8,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
CORDRAN; FLURANDRENOLIDE,-5.2,-4.6,-4.0,-3.4,-5.0,-5.4,-5.4,-3.4,-3.2,-3.9,-5.2,CC1CCN(S(=O)(=O)c2ccc(Br)s2)CC1
CORGARD; NADOLOL,-6.5,-5.5,-6.2,-6.2,-7.1,-7.4,-8.4,-7.2,-7.1,-7.7,-7.9,CC(C)(C)[NH2+]C[C@@H](O)COc1cccc2c1C[C@H](O)[C@H](O)C2
CORLOPAM; FENOLDOPAM MESYLATE,-11.2,-8.0,-7.6,-7.0,-8.1,-10.3,-11.4,-8.1,-4.7,-7.4,-10.3,Oc1ccc([C@@H]2C[NH2+]CCc3c2cc(O)c(O)c3Cl)cc1
CORTEF; HYDROCORTISONE CYPIONATE,-7.8,-8.6,-7.6,-6.0,-6.0,-7.6,-6.5,-5.7,-4.0,-5.5,-8.2,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC1CCCC1
CORTISONE ACETATE; CORTISONE ACETATE,-4.9,-7.9,-6.4,-5.5,-6.3,-7.2,-8.6,-5.5,-4.4,-3.0,-8.2,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C
CORVERT; IBUTILIDE FUMARATE,-6.4,-7.6,-6.6,-4.9,-5.5,-6.1,-5.2,-5.0,-5.6,-5.8,-3.3,CCCCCCC[N@@H+](CC)CCC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1
COSMEGEN; DACTINOMYCIN,0.0,0.0,0.0,-3.8,0.0,0.0,0.0,0.0,-1.9,-1.6,0.0,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O
COSOPT; DORZOLAMIDE HYDROCHLORIDE,-4.0,-5.2,-2.0,-4.4,-3.7,-6.8,-5.2,-4.3,-4.7,-4.5,-4.3,CC[NH2+][C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
COZAAR; LOSARTAN POTASSIUM,-5.8,-8.4,-6.2,-4.5,-4.9,-6.8,-9.1,-6.4,-4.7,-6.0,-5.7,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1
CRESTOR; ROSUVASTATIN CALCIUM,-11.2,-9.2,-8.7,-5.8,-7.2,-10.5,-11.6,-6.5,-5.2,-10.0,-9.9,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-]
CRINONE; PROGESTERONE,-5.7,-7.5,-6.0,-4.5,-4.8,-6.1,-6.8,-4.8,-4.3,-6.5,-6.1,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CRIXIVAN; INDINAVIR SULFATE,-10.1,-10.2,-9.3,-8.1,-8.2,-7.5,-8.0,-7.4,-7.5,-6.3,-8.9,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
CROLOM; CROMOLYN SODIUM,-10.0,-11.0,-8.7,-7.5,-6.9,-9.6,-14.8,-4.3,-3.5,-4.3,-9.2,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1
CRYSTODIGIN; DIGITOXIN,-11.2,-9.6,-11.8,-9.1,-7.5,-7.8,-7.4,-8.7,-7.8,-8.6,-9.7,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
CUPRIMINE; PENICILLAMINE,-3.8,-3.1,-2.6,-3.4,-4.7,-4.8,-8.3,-3.4,-3.0,-4.2,-9.2,CC(C)(S)[C@@H]([NH3+])C(=O)[O-]
CYCLACILLIN; CYCLACILLIN,-5.2,-7.6,-5.6,-4.2,-5.7,-7.5,-9.8,-5.2,-5.1,-6.5,-5.7,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)[O-]
CYCLAINE; HEXYLCAINE HYDROCHLORIDE,-10.0,-9.6,-7.1,-5.8,-5.7,-8.3,-6.7,-6.1,-5.8,-6.4,-7.6,O=c1cc(-c2ccc(O)cc2)oc2cc(N3CCOCC3)cc(O)c12
CYKLOKAPRON; TRANEXAMIC ACID,-2.0,-4.4,-3.6,-4.9,-3.9,-5.7,-4.8,-4.5,-3.1,-4.1,-5.1,[NH3+]C[C@H]1CC[C@H](C(=O)[O-])CC1
CYPROHEPTADINE HYDROCHLORIDE; CYPROHEPTADINE HYDROCHLORIDE,-5.8,-5.7,-5.4,-4.8,-4.9,-4.3,-6.3,-2.8,-4.1,-3.9,-6.3,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
CYSTADANE; BETAINE HYDROCHLORIDE,-0.1,-2.7,-2.6,-3.4,-4.5,0.0,-2.6,-4.6,-2.3,-2.4,-4.5,C[N+](C)(C)CC(=O)[O-]
CYSTAGON; CYSTEAMINE BITARTRATE,-2.6,-2.8,-2.7,-2.5,-2.5,-3.2,-5.2,-3.1,-2.7,-3.6,-2.7,[NH3+]CCS
CYSTEINE HYDROCHLORIDE; CYSTEINE HYDROCHLORIDE,-3.1,-2.8,-2.3,-3.7,-3.5,-5.2,-5.1,-4.0,-2.4,-5.2,-4.4,[NH3+][C@@H](CS)C(=O)[O-]
CYTADREN; AMINOGLUTETHIMIDE,-7.7,-8.0,-5.6,-6.2,-5.4,-6.6,-7.2,-4.0,-5.8,-8.3,-5.2,CC[C@]1(c2ccc(N)cc2)CCC(=O)NC1=O
CYTARABINE; CYTARABINE,-8.5,-7.6,-6.0,-7.3,-5.3,-5.9,-7.5,-6.4,-7.3,-5.5,-5.7,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
CYTOVENE; GANCICLOVIR,-6.7,-5.7,-5.2,-9.6,-8.8,-5.6,-7.3,-5.6,-7.3,-4.6,-6.3,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1
D.H.E. 45; DIHYDROERGOTAMINE MESYLATE,-5.9,-9.4,-7.9,-6.7,-6.3,-8.1,-7.9,-5.1,-4.3,-6.4,-7.5,C[N@H+]1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
DACOGEN; DECITABINE,-6.6,-7.7,-5.5,-6.7,-5.4,-5.9,-7.7,-5.9,-5.2,-6.8,-6.9,N=c1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
DALGAN; DEZOCINE,0.0,-3.5,-5.5,0.0,-4.7,0.0,-5.0,-3.5,-5.9,-5.7,-5.0,C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2[NH3+]
DALIRESP; ROFLUMILAST,-9.6,-7.9,-5.6,-4.7,-5.6,-5.5,-8.5,-3.5,-5.6,-5.2,-5.5,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1
DANAZOL; DANAZOL,-7.3,-8.6,-6.8,-5.3,-6.3,-6.8,-6.7,-4.4,-5.2,-7.2,-6.8,C#C[C@]1(O)CC[C@@H]2[C@H]3CCC4=Cc5oncc5C[C@@]4(C)[C@@H]3CC[C@@]21C
DANTRIUM; DANTROLENE SODIUM,-8.3,-8.0,-7.4,-4.6,-6.3,-6.1,-6.8,-5.0,-5.0,-4.8,-6.2,O=C(c1c[nH]c2cc(Cl)ccc12)N1CCC2(CC1)OCc1cccnc12
DARANIDE; DICHLORPHENAMIDE,-6.0,-7.2,-4.9,-5.2,-4.5,-4.5,-5.5,-4.3,-6.3,-5.4,-5.6,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
DARAPRIM; PYRIMETHAMINE,-7.8,-6.9,-5.2,-4.6,-5.0,-5.3,-6.7,-3.8,-4.9,-6.9,-7.3,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
DARIFENACIN HYDROBROMIDE; DARIFENACIN HYDROBROMIDE,-5.6,-6.8,-6.5,-5.1,-4.8,-5.4,-4.3,-3.7,-6.2,-4.3,-6.9,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CC[N@H+](CCc2ccc3c(c2)CCO3)C1
DARUNAVIR; DARUNAVIR,-7.0,-6.3,-7.1,-6.3,-7.9,-8.0,-6.8,-4.7,-7.8,-4.6,-7.8,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1
DAYPRO; OXAPROZIN,-8.5,-8.3,-6.8,-5.7,-5.3,-7.7,-7.8,-4.4,-4.8,-8.9,-7.9,O=C([O-])CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
DAYTRANA; METHYLPHENIDATE,-5.6,-6.2,-4.8,-3.4,-5.0,-5.0,-6.8,-4.3,-4.4,-4.3,-5.1,COC(=O)[C@@H](c1ccccc1)[C@@H]1CCCC[NH2+]1
DECADRON-LA; DEXAMETHASONE ACETATE,-5.9,-5.5,-4.0,-3.4,-5.3,-4.5,-3.4,-2.7,-3.9,-4.5,-4.8,O=S(=O)(c1ccc(Cl)cc1Br)N1CCCCC1
DEFEROXAMINE MESYLATE; DEFEROXAMINE MESYLATE,-9.9,-11.1,-10.4,-5.6,-4.6,-9.8,-8.7,-6.6,-7.5,-9.1,-10.5,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
DELALUTIN; HYDROXYPROGESTERONE CAPROATE,-6.0,-7.4,-6.5,-5.1,-5.5,-7.2,-6.7,-5.3,-4.3,-1.9,-6.7,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
DELCOBESE; AMPHETAMINE ADIPATE,-3.4,-3.1,-3.1,-4.8,-2.9,-4.4,-7.0,-3.7,-1.9,-4.3,-5.8,O=C([O-])CCCCC(=O)[O-]
DELFEN; NONOXYNOL-9,-10.3,-8.4,-4.9,-8.6,-7.3,-5.2,-6.1,-5.9,-3.1,-7.2,-7.9,CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1
DELFLEX-LM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER; SODIUM LACTATE,-3.7,-3.3,-4.6,-4.1,-3.8,-5.9,-7.3,-3.7,-3.4,-5.0,-5.3,C[C@H](O)C(=O)[O-]
DEMADEX; TORSEMIDE,-7.0,-6.3,-5.7,-4.6,-4.8,-4.2,-6.7,-5.0,-5.0,-5.5,-7.0,Cc1cccc(Nc2ccncc2S(=O)(=O)[N-]C(=O)NC(C)C)c1
DENDRID; IDOXURIDINE,-6.9,-6.7,-6.1,-5.5,-6.3,-4.9,-6.6,-6.0,-6.4,-5.3,-5.4,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
DEPACON; VALPROATE SODIUM,-3.8,-4.2,-4.3,-0.5,-3.0,-4.5,-7.6,-3.5,-2.2,-4.4,-6.4,CCCC(CCC)C(=O)[O-]
DEPAKENE; VALPROIC ACID,-4.5,-4.3,-3.2,-0.9,-2.9,-5.0,-9.1,-3.7,-2.3,-1.3,-5.8,CCCC(CCC)C(=O)[O-]
DEPINAR; TANNIC ACID,0.0,-24.0,-24.2,-26.1,-25.9,-21.5,-27.4,-21.6,-19.0,-22.2,0.0,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c([O-])c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c([O-])c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c([O-])c(OC(=O)c2cc(O)c(O)c(O)c2)c1
DESIPRAMINE HYDROCHLORIDE; DESIPRAMINE HYDROCHLORIDE,-5.7,-6.1,-5.4,-4.8,-5.0,-6.9,-5.7,-5.7,-4.7,-5.1,-5.9,C[NH2+]CCCN1c2ccccc2CCc2ccccc21
DESOXYN; METHAMPHETAMINE HYDROCHLORIDE,-4.7,-4.5,-3.9,-2.6,-4.4,-3.9,-3.8,-3.9,-4.2,-4.9,-4.2,C[NH2+][C@@H](C)Cc1ccccc1
DESVENLAFAXINE; DESVENLAFAXINE,-4.4,-6.9,-3.2,-3.1,-2.5,-5.0,-3.3,-5.1,-6.5,-3.5,-5.3,C[NH+](C)C[C@H](c1ccc(O)cc1)C1(O)CCCCC1
